,SP500,Div,Earning,CPI,Rate10y,TB3MS,gold,bondTR,eqTR,gldTR,tbTR,cpiTR
1983-10-01,167.7,7.03,13.5433,101.0,0.11539999999999999,0.0864,405.0,1.0162342429761084,1.0064837719060487,0.9759036144578314,1.0075,1.002979145978153
1983-11-01,165.2,7.06,13.7867,101.2,0.11689999999999999,0.0876,395.0,1.0007716383960332,0.9886537667430455,0.9753086419753086,1.0072,1.001980198019802
1983-12-01,164.4,7.09,14.03,101.3,0.1183,0.09,385.0,1.00153288895966,0.9987512617113323,0.9746835443037974,1.0073,1.00098814229249
1984-01-01,166.4,7.12,14.44,101.9,0.1167,0.08900000000000001,390.0,1.019300671771884,1.0157311552498598,1.0129870129870129,1.0075,1.005923000987167
1984-02-01,157.3,7.15,14.85,102.4,0.1184,0.0909,385.0,0.9997612207231744,0.9491003787878788,0.9871794871794872,1.0074166666666666,1.0049067713444553
1984-03-01,157.4,7.18,15.26,102.6,0.1232,0.09519999999999999,395.0,0.9822708969285286,1.0044370832663545,1.025974025974026,1.007575,1.0019531249999998
1984-04-01,157.6,7.22333,15.5733,103.1,0.1263,0.0969,395.0,0.9926632894118963,1.0050900907123907,1.0,1.0079333333333333,1.0048732943469785
1984-05-01,156.6,7.26667,15.8867,103.4,0.1341,0.0983,375.0,0.967574625947572,0.9975217178224668,0.9493670886075949,1.008075,1.0029097963142581
1984-06-01,153.1,7.31,16.2,103.7,0.1356,0.0987,375.0,1.002963600399204,0.9816289447626865,1.0,1.0081916666666666,1.0029013539651837
1984-07-01,151.1,7.33333,16.32,104.1,0.1336,0.1012,375.0,1.0223345037602425,0.9909810559093247,1.0,1.008225,1.0038572806171648
1984-08-01,164.4,7.35667,16.44,104.5,0.1272,0.1047,355.0,1.0473461373673554,1.091750228108899,0.9466666666666667,1.0084333333333333,1.0038424591738713
1984-09-01,166.1,7.38,16.56,105.0,0.1252,0.10369999999999999,345.0,1.0220068313115935,1.014043221405333,0.971830985915493,1.008725,1.0047846889952152
1984-10-01,164.8,7.43,16.5867,105.3,0.1216,0.0974,340.0,1.0312631982238996,0.995930468812409,0.9855072463768116,1.0086416666666667,1.002857142857143
1984-11-01,166.3,7.48,16.6133,105.3,0.1157,0.0861,335.0,1.045093354906398,1.012850187889084,0.9852941176470589,1.0081166666666668,1.0
1984-12-01,164.5,7.53,16.64,105.3,0.115,0.0806,335.0,1.0138012689400115,0.9929907772784015,1.0,1.007175,1.0
1985-01-01,171.6,7.57333,16.5567,105.5,0.11380000000000001,0.0776,310.0,1.0167489646170806,1.0468388962839759,0.9253731343283582,1.0067166666666667,1.0018993352326686
1985-02-01,180.9,7.61667,16.4733,106.0,0.1151,0.0827,305.0,1.0017614947420033,1.057704496843676,0.9838709677419355,1.0064666666666666,1.004739336492891
1985-03-01,179.4,7.66,16.39,106.4,0.1186,0.0852,295.0,0.9890945507433508,0.9952662828555107,0.9672131147540983,1.0068916666666667,1.0037735849056604
1985-04-01,180.6,7.68667,16.13,106.9,0.1143,0.0795,315.0,1.0355079850328706,1.010235783993279,1.0677966101694916,1.0071,1.0046992481203008
1985-05-01,184.9,7.71333,15.87,107.3,0.1085,0.0748,320.0,1.0449182685881166,1.0272858758917305,1.0158730158730158,1.006625,1.0037418147801682
1985-06-01,188.9,7.74,15.61,107.6,0.1016,0.0695,315.0,1.0523676761258196,1.0250478203346864,0.984375,1.0062333333333333,1.0027958993476234
1985-07-01,192.5,7.77333,15.4833,107.8,0.10310000000000001,0.0708,310.0,0.9991065812940075,1.0224227804101669,0.9841269841269841,1.0057916666666666,1.0018587360594795
1985-08-01,188.3,7.80667,15.3567,108.0,0.1033,0.07139999999999999,320.0,1.0073446919224527,0.9816367084278795,1.032258064516129,1.0059,1.0018552875695732
1985-09-01,184.1,7.84,15.23,108.3,0.10369999999999999,0.071,325.0,1.006118522872938,0.9812439632304785,1.015625,1.00595,1.0027777777777778
1985-10-01,186.2,7.86,15.0233,108.7,0.1024,0.0716,325.0,1.0167773886029143,1.014924566985089,1.0,1.0059166666666666,1.0036934441366574
1985-11-01,197.5,7.88,14.8167,109.0,0.0978,0.0724,325.0,1.0378800882209505,1.064012327382652,1.0,1.0059666666666667,1.0027598896044159
1985-12-01,207.3,7.9,14.61,109.3,0.0926,0.071,325.0,1.042060340751092,1.0527960048931309,1.0,1.0060333333333333,1.0027522935779816
1986-01-01,208.2,7.94,14.58,109.6,0.0919,0.0707,325.0,1.0122950950495166,1.0075195679504056,1.0,1.0059166666666666,1.0027447392497713
1986-02-01,219.4,7.98,14.55,109.3,0.087,0.0706,335.0,1.0403840506745583,1.0568254220531588,1.0307692307692307,1.0058916666666666,0.9972627737226277
1986-03-01,232.3,8.02,14.52,108.8,0.07780000000000001,0.06559999999999999,340.0,1.0711860100910975,1.0616737451558165,1.0149253731343284,1.0058833333333332,0.9954254345837146
1986-04-01,238.0,8.04667,14.5833,108.6,0.073,0.060599999999999994,345.0,1.0405495915191831,1.0273546978169228,1.0147058823529411,1.0054666666666667,0.9981617647058824
1986-05-01,238.5,8.07333,14.6467,108.9,0.0771,0.061500000000000006,340.0,0.9775029983833519,1.0049217103570989,0.9855072463768116,1.00505,1.0027624309392267
1986-06-01,245.3,8.1,14.71,109.5,0.078,0.0621,340.0,1.0001758385919832,1.0312632629706833,1.0,1.005125,1.0055096418732783
1986-07-01,240.2,8.14333,14.7567,109.5,0.073,0.0583,340.0,1.04198568561026,0.9820343224887105,1.0,1.005175,1.0
1986-08-01,245.0,8.18667,14.8033,109.7,0.0717,0.0553,345.0,1.0153625646179005,1.022767928843311,1.0147058823529411,1.0048583333333334,1.001826484018265
1986-09-01,238.3,8.23,14.85,110.2,0.0745,0.0521,360.0,0.9862334703333121,0.975531086123077,1.0434782608695652,1.0046083333333333,1.0045578851412944
1986-10-01,237.4,8.24667,14.7267,110.3,0.07429999999999999,0.0518,410.0,1.0076196799857111,0.9991180352855685,1.1388888888888888,1.0043416666666667,1.0009074410163339
1986-11-01,245.1,8.26333,14.6033,110.4,0.0725,0.0535,410.0,1.0189946428857057,1.035244219075228,1.0,1.0043166666666667,1.00090661831369
1986-12-01,248.6,8.28,14.48,110.5,0.0711,0.0553,395.0,1.0160611614823467,1.0170554288019436,0.9634146341463414,1.0044583333333332,1.0009057971014492
1987-01-01,264.5,8.3,14.6867,111.2,0.0708,0.054299999999999994,395.0,1.0080748793652536,1.0665731625774786,1.0,1.0046083333333333,1.0063348416289593
1987-02-01,280.9,8.32,14.8933,111.6,0.0725,0.0559,400.0,0.993808300237574,1.064472037511976,1.0126582278481013,1.004525,1.0035971223021583
1987-03-01,292.5,8.34,15.1,112.1,0.0725,0.0559,405.0,1.0060416666666667,1.043671903192729,1.0125,1.0046583333333334,1.0044802867383513
1987-04-01,289.3,8.4,14.8733,112.7,0.0802,0.0564,405.0,0.9530855603413604,0.99147946265817,1.0,1.0046583333333334,1.0053523639607493
