Date,SP500,Div,Earning,CPI,Rate10y,cpiTR,eqTR,bondTR
1887-04-15,5.8,0.23,0.34,8.087381157,0.035575,1.0,1.0262322872955056,1.0019023316711708
1887-05-15,5.9,0.2325,0.3425,8.087381157,0.0357,1.0,1.0205252776154297,1.0019133665887066
1887-06-15,5.73,0.235,0.345,7.992232066,0.035825,0.9882348699594005,0.9746041253783734,1.0019244010069155
1887-07-15,5.59,0.2375,0.3475,7.897091074,0.035949999999999996,0.9880958171366493,0.9791077388255641,1.001935434926257
1887-08-15,5.45,0.24,0.35,7.992232066,0.036074999999999996,1.0120475996931626,0.9786250020515009,1.0019464683471895
1887-09-15,5.38,0.2425,0.3525,7.897091074,0.0362,0.9880958171366493,0.9909121590896172,1.0019575012701718
1887-10-15,5.2,0.245,0.355,7.992232066,0.036324999999999996,1.0120475996931626,0.9704690329806501,1.0019685336956619
1887-11-15,5.3,0.2475,0.3575,8.087381157,0.03645,1.011905196222314,1.0231222786647314,1.0019795656241166
1887-12-15,5.27,0.25,0.36,8.277679339,0.036574999999999996,1.0235302600811993,0.9982928168224076,1.001990597055994
1888-01-15,5.31,0.2483,0.3517,8.372844628,0.036699999999999997,1.0114966145827406,1.011486868546094,1.0020016279917496
1888-02-15,5.28,0.2467,0.3433,8.277679339,0.03651666666666666,0.9886340553028117,0.9982439062232497,1.0045942116665831
1888-03-15,5.08,0.245,0.335,8.277679339,0.036333333333333336,1.0,0.9661402409926031,1.0045802570647602
1888-04-15,5.1,0.2433,0.3267,8.18251405,0.03615,0.9885033854172591,1.0079124980700942,1.004566304030968
1888-05-15,5.17,0.2417,0.3183,8.087381157,0.03596666666666667,0.988373635239893,1.0176213638259946,1.004552352567324
1888-06-15,5.01,0.24,0.31,7.992232066,0.035783333333333334,0.9882348699594005,0.9730442403394371,1.0045384026759479
1888-07-15,5.14,0.2383,0.3017,8.087381157,0.03560000000000001,1.011905196222314,1.0298115927677718,1.0045244543589633
1888-08-15,5.25,0.2367,0.2933,8.087381157,0.03541666666666667,1.0,1.0251579210672597,1.0045105076184968
1888-09-15,5.38,0.235,0.285,8.087381157,0.03523333333333333,1.0,1.0284019295450522,1.004496562456678
1888-10-15,5.35,0.2333,0.2767,8.18251405,0.03505,1.0117631271672733,0.9980577482078541,1.0044826188756393
1888-11-15,5.24,0.2317,0.2683,8.277679339,0.03486666666666667,1.0116303239344882,0.9831240487741078,1.0044686768775164
1888-12-15,5.14,0.23,0.26,8.277679339,0.03468333333333333,1.0,0.9846449540103562,1.0044547364644485
1889-01-15,5.24,0.2292,0.2633,7.992232066,0.0345,0.9655160267376962,1.023100291086227,1.0044407976385767
1889-02-15,5.3,0.2283,0.2667,7.897091074,0.034475000000000006,0.9880958171366493,1.0150400043208987,1.003086459441124
1889-03-15,5.19,0.2275,0.27,7.801941983,0.03445,0.9879513747393309,0.9828981410792406,1.003084401026473
1889-04-15,5.18,0.2267,0.2733,7.801941983,0.034425,1.0,1.0017202576234367,1.0030823426158537
1889-05-15,5.32,0.2258,0.2767,7.611651901,0.03440000000000001,0.9756099080953651,1.0305639944455736,1.0030802842092663
1889-06-15,5.41,0.225,0.28,7.611651901,0.034375,1.0,1.0203830972996262,1.0030782258067121
1889-07-15,5.3,0.2242,0.2833,7.611651901,0.034350000000000006,1.0,0.9831924400423162,1.0030761674081918
1889-08-15,5.37,0.2233,0.2867,7.611651901,0.034325,1.0,1.0166727861518101,1.003074109013706
1889-09-15,5.5,0.2225,0.29,7.706792893,0.0343,1.012499388206061,1.0275797782292195,1.0030720506232553
1889-10-15,5.4,0.2217,0.2933,7.706792893,0.034275,1.0,0.9852394781144782,1.003069992236841
1889-11-15,5.35,0.2208,0.2967,7.706792893,0.03425,1.0,0.9941799930771892,1.003067933854463
1889-12-15,5.32,0.22,0.3,7.801941983,0.034225,1.0123461329921584,0.9978386386527067,1.0030658754761228
1890-01-15,5.38,0.22,0.2992,7.611651901,0.0342,0.9756099080953651,1.0146858782644343,1.003063817101821
1890-02-15,5.32,0.22,0.2983,7.611651901,0.03436666666666666,1.0,0.9922936989313433,1.0014395503253226
1890-03-15,5.28,0.22,0.2975,7.611651901,0.03453333333333333,1.0,0.995953425229741,1.0014545468008476
1890-04-15,5.39,0.22,0.2967,7.611651901,0.034699999999999995,1.0,1.0242346938775508,1.00146954208257
1890-05-15,5.62,0.22,0.2958,7.706792893,0.034866666666666664,1.012499388206061,1.0459337730562948,1.0014845361719547
1890-06-15,5.58,0.22,0.295,7.706792893,0.03503333333333333,1.0,0.9961681058857044,1.0014995290704642
1890-07-15,5.54,0.22,0.2942,7.706792893,0.035199999999999995,1.0,0.996140807163283,1.0015145207795597
1890-08-15,5.41,0.22,0.2933,7.992232066,0.03536666666666667,1.0370373483448947,0.9799230822272789,1.0015295113007
1890-09-15,5.32,0.22,0.2925,8.087381157,0.03553333333333333,1.011905196222314,0.9868102557688121,1.0015445006353427
1890-10-15,5.08,0.22,0.2917,8.087381157,0.035699999999999996,1.0,0.9584961419296272,1.0015594887849422
1890-11-15,4.71,0.22,0.2908,7.897091074,0.03586666666666667,0.9764707413554641,0.9310577817900151,1.0015744757509522
1890-12-15,4.6,0.22,0.29,7.897091074,0.036033333333333334,1.0,0.9806309424905381,1.001589461534824
1891-01-15,4.84,0.22,0.2942,7.801941983,0.0362,0.9879513747393309,1.0559617918313573,1.001604446138007
1891-02-15,4.9,0.22,0.2983,7.897091074,0.03618333333333333,1.012195565053845,1.0161381908135156,1.0031565107824778
1891-03-15,4.81,0.22,0.3025,7.992232066,0.03616666666666667,1.0120475996931626,0.9854441568727282,1.0031551328466022
1891-04-15,4.97,0.22,0.3067,8.087381157,0.036149999999999995,1.011905196222314,1.0369528327274806,1.0031537549119063
1891-05-15,4.95,0.22,0.3108,7.992232066,0.03613333333333333,0.9882348699594005,0.9996795588344884,1.0031523769783899
1891-06-15,4.85,0.22,0.315,7.801941983,0.036116666666666665,0.9761906209143352,0.983578048526502,1.0031509990460532
1891-07-15,4.77,0.22,0.3192,7.706792893,0.0361,0.9878044350743284,0.9873486207467923,1.003149621114897
1891-08-15,4.93,0.22,0.3233,7.706792893,0.036083333333333335,1.0,1.0372617058100622,1.0031482431849204
1891-09-15,5.33,0.22,0.3275,7.611651901,0.036066666666666664,0.9876549177691779,1.08457555241803,1.0031468652561242
1891-10-15,5.33,0.22,0.3317,7.611651901,0.03605,1.0,1.003439649781113,1.0031454873285084
1891-11-15,5.25,0.22,0.3358,7.51650281,0.036033333333333334,0.9874995477673514,0.9884826826290242,1.0031441094020732
1891-12-15,5.41,0.22,0.34,7.51650281,0.03601666666666667,1.0,1.0338649766745887,1.0031427314768184
1892-01-15,5.51,0.2217,0.3425,7.326212727,0.036000000000000004,0.9746836942910687,1.0218372829102522,1.003141353552745
1892-02-15,5.52,0.2233,0.345,7.326212727,0.036125000000000004,1.0,1.0051859569118948,1.001950881576111
1892-03-15,5.58,0.225,0.3475,7.135922645,0.03625,0.9740261320424528,1.0142297802711548,1.0019619143000413
1892-04-15,5.57,0.2267,0.35,7.040773554,0.036375,0.9866661823938536,1.0015995669324274,1.0019729465266625
1892-05-15,5.57,0.2283,0.3525,7.040773554,0.0365,1.0,1.0034156193895871,1.0019839782564315
1892-06-15,5.54,0.23,0.355,7.040773554,0.036625,1.0,0.9980736907146113,1.0019950094898054
1892-07-15,5.54,0.2317,0.3575,7.231071736,0.03675,1.0270280219269212,1.0034852587244285,1.0020060402272404
1892-08-15,5.62,0.2333,0.36,7.326212727,0.036875,1.0131572461833478,1.0178998045059975,1.0020170704691924
1892-09-15,5.48,0.235,0.3625,7.326212727,0.037000000000000005,1.0,0.9786625689447663,1.002028100216117
1892-10-15,5.59,0.2367,0.365,7.326212727,0.037125,1.0,1.0236016152409804,1.0020391294684696
1892-11-15,5.57,0.2383,0.3675,7.51650281,0.03725,1.0259738680940436,0.9999874128696516,1.0020501582267043
1892-12-15,5.51,0.24,0.37,7.611651901,0.037375,1.0126586916023517,0.9928577712466642,1.0020611864912754
1893-01-15,5.61,0.2408,0.3608,7.897091074,0.0375,1.0375002925399808,1.021725766256566,1.0020722142626366
1893-02-15,5.51,0.2417,0.3517,7.992232066,0.03745833333333334,1.0120475996931626,0.9858301629511728,1.0034725242391629
1893-03-15,5.31,0.2425,0.3425,7.801941983,0.03741666666666667,0.9761906209143352,0.9675080718387956,1.0034691199174604
1893-04-15,5.31,0.2433,0.3333,7.706792893,0.037375000000000005,0.9878044350743284,1.0038182674199623,1.0034657156140194
1893-05-15,4.84,0.2442,0.3242,7.611651901,0.037333333333333336,0.9876549177691779,0.9156923043999315,1.0034623113288452
1893-06-15,4.61,0.245,0.315,7.421361818,0.03729166666666667,0.9750001595612905,0.956908116861775,1.003458907061944
1893-07-15,4.18,0.2458,0.3058,7.231071736,0.037250000000000005,0.9743591423425192,0.9116248309098519,1.0034555028133207
1893-08-15,4.08,0.2467,0.2967,6.945632562,0.037208333333333336,0.9605260209798588,0.9811153622134661,1.0034520985829816
1893-09-15,4.37,0.2475,0.2875,7.231071736,0.03716666666666667,1.0410962099494947,1.0757981110064163,1.0034486943709318
1893-10-15,4.5,0.2483,0.2783,7.326212727,0.037125000000000005,1.0131572461833478,1.0343464319010085,1.0034452901771769
1893-11-15,4.57,0.2492,0.2692,7.135922645,0.037083333333333336,0.9740261320424528,1.0200996839290055,1.0034418860017225
1893-12-15,4.41,0.25,0.26,7.040773554,0.03704166666666667,0.9866661823938536,0.9697131709479317,1.0034384818445747
1894-01-15,4.32,0.2467,0.2517,6.850483471,0.037000000000000005,0.9729731283728202,0.9843507101914841,1.0034350777057386
1894-02-15,4.38,0.2433,0.2433,6.755342479,0.036800000000000006,0.9861117843137994,1.0185178843226788,1.0047566095198075
1894-03-15,4.51,0.24,0.235,6.565052397,0.0366,0.971831171759012,1.034114955097247,1.0047415147474879
1894-04-15,4.57,0.2367,0.2267,6.565052397,0.0364,1.0,1.0176199619615056,1.004726422006907
1894-05-15,4.4,0.2333,0.2183,6.565052397,0.0362,1.0,0.9672194358795836,1.0047113313010585
1894-06-15,4.34,0.23,0.21,6.565052397,0.036000000000000004,1.0,0.9907799190057253,1.0046962426329387
1894-07-15,4.25,0.2267,0.2017,6.565052397,0.0358,1.0,0.9837077708502756,1.00468115600555
1894-08-15,4.41,0.2233,0.1933,6.755342479,0.03559999999999999,1.0289853104732198,1.041866635543106,1.0046660714218993
1894-09-15,4.48,0.22,0.185,6.850483471,0.0354,1.0140838147430364,1.019965277777778,1.0046509888849977
1894-10-15,4.34,0.2167,0.1767,6.660193388,0.0352,0.9722223863752754,0.9729109062980029,1.0046359083978618
1894-11-15,4.34,0.2133,0.1683,6.660193388,0.035,1.0,1.0040956221198156,1.004620829963512
1894-12-15,4.3,0.21,0.16,6.565052397,0.034800000000000005,0.9857149807134099,0.9948531775801094,1.0046057535849748
1895-01-15,4.25,0.2083,0.1675,6.565052397,0.0346,1.0,0.9924564067487461,1.0045906792652803
1895-02-15,4.19,0.2067,0.175,6.565052397,0.034716666666666667,1.0,0.989993331461463,1.0018976457482642
1895-03-15,4.19,0.205,0.1825,6.565052397,0.034833333333333334,1.0,1.004077167859984,1.0019079095479095
1895-04-15,4.37,0.2033,0.19,6.850483471,0.03495,1.0434773489592304,1.0468362388018402,1.001918172938984
1895-05-15,4.61,0.2017,0.1975,6.945632562,0.03506666666666667,1.013889397938524,1.0585659677582149,1.0019284359218394
1895-06-15,4.7,0.2,0.205,7.040773554,0.03518333333333333,1.0136979592788313,1.023068875863448,1.001938698496826
1895-07-15,4.72,0.1983,0.2125,6.945632562,0.0353,0.986487139336281,1.00775637847097,1.0019489606642937
1895-08-15,4.79,0.1967,0.22,6.850483471,0.03541666666666667,0.9863008746646682,1.0182525683214796,1.0019592224245928
1895-09-15,4.82,0.195,0.2275,6.850483471,0.03553333333333333,1.0,1.0096344173113072,1.001969483778073
1895-10-15,4.75,0.1933,0.235,6.850483471,0.035649999999999994,1.0,0.9888684064934119,1.0019797447250838
1895-11-15,4.59,0.1917,0.2425,6.850483471,0.03576666666666667,1.0,0.9697961816305469,1.0019900052659736
1895-12-15,4.32,0.19,0.25,6.755342479,0.035883333333333337,0.9861117843137994,0.9448415940450255,1.0020002654010915
1896-01-15,4.27,0.1892,0.2467,6.660193388,0.036000000000000004,0.9859149863540174,0.9921183537167142,1.0020105251307858
1896-02-15,4.45,0.1883,0.2433,6.565052397,0.035833333333333335,0.9857149807134099,1.0456807839731952,1.0044007437698546
1896-03-15,4.38,0.1875,0.24,6.565052397,0.035666666666666666,1.0,0.9878370145195218,1.0043879531946887
1896-04-15,4.42,0.1867,0.2367,6.469903306,0.0355,0.9855067278604692,1.012652405008368,1.0043751638034026
1896-05-15,4.4,0.1858,0.2333,6.374754215,0.035333333333333335,0.9852935837678191,0.9989940525161115,1.0043623755974505
1896-06-15,4.32,0.185,0.23,6.279613223,0.035166666666666666,0.9850753474108648,0.9853868546576879,1.0043495885782874
1896-07-15,4.04,0.1842,0.2267,6.279613223,0.035,1.0,0.9389846901356802,1.0043368027473714
1896-08-15,3.81,0.1833,0.2233,6.279613223,0.034833333333333334,1.0,0.947078493282399,1.004324018106161
